Billing Run: Billing Run Number,Billing Run: Number Of Invoices,total_times_second,avg_seconds_per_invoice
BR-00011459,697.0,658.85,0.9452654232424678
BR-00011354,625.0,452.451,0.7239216
BR-00011448,600.0,526.973,0.8782883333333332
BR-00011436,571.0,630.695,1.1045446584938705
BR-00011443,523.0,624.108,1.193323135755258
BR-00011398,514.0,498.972,0.9707626459143969
BR-00011427,496.0,555.021,1.118993951612903
BR-00011432,486.0,528.078,1.0865802469135801
BR-00011301,482.0,424.62,0.880954356846473
BR-00011394,471.0,428.658,0.9101019108280255
BR-00011377,467.0,592.21,1.2681156316916489
BR-00011384,465.0,478.306,1.0286150537634409
BR-00011345,459.0,475.264,1.035433551198257
BR-00011451,458.0,574.3,1.2539301310043667
BR-00011336,451.0,558.656,1.2387050997782705
BR-00011308,449.0,459.412,1.0231893095768374
BR-00011299,449.0,521.844,1.162236080178174
BR-00011327,449.0,484.835,1.0798106904231626
BR-00011369,447.0,543.891,1.2167583892617448
BR-00011317,445.0,478.975,1.0763483146067416
BR-00011418,439.0,430.119,0.9797699316628702
BR-00011363,433.0,483.275,1.116108545034642
BR-00011361,431.0,454.672,1.05492343387471
BR-00011279,417.0,458.585,1.0997242206235012
BR-00011331,411.0,472.942,1.1507104622871047
BR-00011404,409.0,475.395,1.1623349633251834
BR-00011289,407.0,469.435,1.1534029484029484
BR-00011319,405.0,457.664,1.1300345679012345
BR-00011315,405.0,431.676,1.0658666666666667
BR-00011406,372.0,475.806,1.2790483870967742
BR-00011281,360.0,446.082,1.2391166666666666
BR-00011368,57.0,353.186,6.196245614035087
BR-00011376,50.0,429.155,8.5831
BR-00011362,48.0,353.75,7.369791666666667
BR-00011318,47.0,349.417,7.434404255319149
BR-00011450,44.0,364.605,8.286477272727273
BR-00011431,43.0,413.167,9.60853488372093
BR-00011458,43.0,370.334,8.612418604651163
BR-00011383,41.0,391.12,9.53951219512195
BR-00011330,41.0,370.163,9.028365853658537
BR-00011393,40.0,330.642,8.26605
BR-00011405,40.0,348.783,8.719575
BR-00011280,39.0,336.658,8.63225641025641
BR-00011344,38.0,330.935,8.708815789473684
BR-00011469,37.0,356.807,9.643432432432434
BR-00011288,36.0,346.086,9.6135
BR-00011335,36.0,465.651,12.934750000000001
BR-00011426,35.0,388.742,11.106914285714286
BR-00011417,35.0,360.53,10.300857142857142
BR-00011307,34.0,371.844,10.936588235294117
BR-00011435,34.0,358.935,10.556911764705882
BR-00011326,34.0,334.001,9.82355882352941
BR-00011300,26.0,383.634,14.755153846153847
BR-00011397,25.0,435.228,17.40912
BR-00011403,23.0,331.178,14.39904347826087
BR-00011314,22.0,347.566,15.798454545454545
BR-00011360,21.0,373.084,17.76590476190476
BR-00011316,21.0,371.353,17.683476190476192
BR-00011353,20.0,353.293,17.66465
BR-00011442,20.0,338.757,16.93785
BR-00011447,19.0,354.964,18.682315789473684
BR-00011298,8.0,358.905,44.863125
BR-00011429,1.0,16.458,16.458
BR-00011428,1.0,20.567,20.567
BR-00011292,1.0,15.562,15.562
BR-00011430,1.0,15.464,15.464
BR-00011291,1.0,15.641,15.641
BR-00011425,1.0,15.482,15.482
BR-00011424,1.0,15.625,15.625
BR-00011420,1.0,15.657,15.657
BR-00011423,1.0,15.401,15.401
BR-00011413,1.0,15.428,15.428
BR-00011295,1.0,15.73,15.73
BR-00011294,1.0,15.602,15.602
BR-00011408,1.0,15.44,15.44
BR-00011409,1.0,15.436,15.436
BR-00011410,1.0,15.468,15.468
BR-00011411,1.0,15.524,15.524
BR-00011414,1.0,15.451,15.451
BR-00011422,1.0,15.74,15.74
BR-00011415,1.0,15.47,15.47
BR-00011416,1.0,15.43,15.43
BR-00011293,1.0,15.541,15.541
BR-00011419,1.0,16.551,16.551
BR-00011433,1.0,1.189,1.189
BR-00011421,1.0,15.497,15.497
BR-00011290,1.0,15.643,15.643
BR-00011325,1.0,26.989,26.989
BR-00011434,1.0,0.688,0.688
BR-00011437,1.0,1.217,1.217
BR-00011468,1.0,0.931,0.931
BR-00011467,1.0,0.919,0.919
BR-00011466,1.0,0.614,0.614
BR-00011465,1.0,0.758,0.758
BR-00011464,1.0,0.829,0.829
BR-00011463,1.0,0.763,0.763
BR-00011462,1.0,4.665,4.665
BR-00011461,1.0,5.201,5.201
BR-00011460,1.0,0.742,0.742
BR-00011282,1.0,19.614,19.614
BR-00011283,1.0,15.726,15.726
BR-00011457,1.0,0.517,0.517
BR-00011456,1.0,1.435,1.435
BR-00011455,1.0,0.644,0.644
BR-00011454,1.0,0.797,0.797
BR-00011453,1.0,1.975,1.975
BR-00011452,1.0,0.851,0.851
BR-00011284,1.0,15.659,15.659
BR-00011285,1.0,15.72,15.72
BR-00011449,1.0,0.722,0.722
BR-00011286,1.0,19.613,19.613
BR-00011446,1.0,0.66,0.66
BR-00011445,1.0,0.787,0.787
BR-00011444,1.0,0.794,0.794
BR-00011287,1.0,16.698,16.698
BR-00011441,1.0,0.569,0.569
BR-00011440,1.0,0.839,0.839
BR-00011439,1.0,2.175,2.175
BR-00011296,1.0,15.684,15.684
BR-00011438,1.0,0.639,0.639
BR-00011297,1.0,15.637,15.637
BR-00011402,1.0,15.595,15.595
BR-00011342,1.0,15.583,15.583
BR-00011312,1.0,0.507,0.507
BR-00011313,1.0,23.617,23.617
BR-00011359,1.0,17.767,17.767
BR-00011358,1.0,15.415,15.415
BR-00011357,1.0,16.569,16.569
BR-00011356,1.0,15.546,15.546
BR-00011355,1.0,15.446,15.446
BR-00011352,1.0,15.479,15.479
BR-00011351,1.0,0.486,0.486
BR-00011350,1.0,0.405,0.405
BR-00011346,1.0,15.456,15.456
BR-00011320,1.0,16.132,16.132
BR-00011343,1.0,16.49,16.49
BR-00011341,1.0,15.747,15.747
BR-00011364,1.0,15.573,15.573
BR-00011340,1.0,19.26,19.26
BR-00011339,1.0,19.334,19.334
BR-00011338,1.0,15.625,15.625
BR-00011337,1.0,17.667,17.667
BR-00011321,1.0,0.271,0.271
BR-00011334,1.0,15.712,15.712
BR-00011333,1.0,15.652,15.652
BR-00011332,1.0,15.593,15.593
BR-00011322,1.0,15.657,15.657
BR-00011323,1.0,15.668,15.668
BR-00011329,1.0,16.621,16.621
BR-00011328,1.0,15.59,15.59
BR-00011324,1.0,16.676,16.676
BR-00011311,1.0,15.622,15.622
BR-00011365,1.0,15.503,15.503
BR-00011401,1.0,15.522,15.522
BR-00011303,1.0,18.646,18.646
BR-00011400,1.0,16.529,16.529
BR-00011399,1.0,18.422,18.422
BR-00011396,1.0,15.475,15.475
BR-00011395,1.0,16.828,16.828
BR-00011392,1.0,17.463,17.463
BR-00011391,1.0,16.445,16.445
BR-00011390,1.0,15.472,15.472
BR-00011389,1.0,15.529,15.529
BR-00011388,1.0,15.456,15.456
BR-00011387,1.0,18.463,18.463
BR-00011386,1.0,15.575,15.575
BR-00011385,1.0,15.742,15.742
BR-00011302,1.0,19.672,19.672
BR-00011382,1.0,15.782,15.782
BR-00011366,1.0,15.478,15.478
BR-00011381,1.0,16.061,16.061
BR-00011380,1.0,16.466,16.466
BR-00011379,1.0,15.5,15.5
BR-00011304,1.0,15.766,15.766
BR-00011305,1.0,15.709,15.709
BR-00011374,1.0,15.459,15.459
BR-00011373,1.0,15.435,15.435
BR-00011372,1.0,15.423,15.423
BR-00011371,1.0,15.451,15.451
BR-00011370,1.0,15.605,15.605
BR-00011309,1.0,15.678,15.678
BR-00011310,1.0,15.579,15.579
BR-00011367,1.0,15.502,15.502
BR-00011375,1.0,15.897,15.897
