Billing Run: Billing Run Number,Billing Run: Number Of Invoices,total_times_second,avg_seconds_per_invoice
BR-00022680,18375.0,6086.683,0.3312480544217687
BR-00023017,2855.0,784.707,0.2748535901926445
BR-00022829,1571.0,453.456,0.28864162953532785
BR-00022683,1548.0,186.118,0.1202312661498708
BR-00022584,1182.0,154.774,0.1309424703891709
BR-00022881,1043.0,1168.834,1.1206462128475552
BR-00022682,928.0,878.328,0.9464741379310344
BR-00022587,856.0,107.052,0.1250607476635514
BR-00022583,751.0,581.484,0.7742796271637816
BR-00022665,712.0,1359.59,1.9095365168539324
BR-00022652,408.0,158.847,0.3893308823529412
BR-00022843,286.0,30.254,0.10578321678321678
BR-00022978,267.0,350.074,1.3111385767790262
BR-00022860,260.0,322.378,1.2399153846153845
BR-00022965,253.0,268.432,1.0609960474308302
BR-00022859,246.0,323.011,1.3130528455284554
BR-00022992,245.0,313.117,1.2780285714285715
BR-00022822,245.0,276.339,1.1279142857142856
BR-00022807,240.0,227.617,0.9484041666666666
BR-00022791,237.0,238.86,1.007848101265823
BR-00022647,227.0,248.959,1.0967356828193833
BR-00022913,224.0,258.181,1.1525937499999999
BR-00022795,223.0,286.412,1.2843587443946187
BR-00022950,222.0,394.171,1.775545045045045
BR-00022901,220.0,344.501,1.5659136363636363
BR-00022882,220.0,278.41,1.2655
BR-00022769,220.0,240.123,1.0914681818181817
BR-00022928,219.0,302.231,1.3800502283105023
BR-00022915,217.0,272.325,1.2549539170506911
BR-00022914,215.0,267.274,1.2431348837209302
BR-00022764,214.0,325.161,1.519443925233645
BR-00022603,212.0,322.155,1.5195990566037734
BR-00022895,208.0,278.516,1.3390192307692308
BR-00022858,205.0,263.945,1.2875365853658536
BR-00022761,203.0,286.041,1.4090689655172413
BR-00022941,202.0,313.612,1.5525346534653466
BR-00022748,196.0,26.19,0.13362244897959186
BR-00022977,194.0,295.545,1.5234278350515464
BR-00022866,191.0,315.378,1.6511937172774869
BR-00022684,190.0,277.539,1.4607315789473683
BR-00022582,186.0,381.927,2.0533709677419356
BR-00022643,184.0,287.387,1.5618858695652174
BR-00022979,122.0,296.622,2.4313278688524593
BR-00022642,103.0,20.206,0.1961747572815534
BR-00022644,68.0,229.24,3.371176470588235
BR-00022613,53.0,22.534,0.4251698113207547
BR-00022754,47.0,5.866,0.12480851063829787
BR-00022593,23.0,26.736,1.1624347826086956
BR-00022645,19.0,4.66,0.24526315789473685
BR-00022679,16.0,8.093,0.5058125
BR-00022762,12.0,1.594,0.13283333333333333
BR-00022592,10.0,6.496,0.6496000000000001
BR-00022615,5.0,0.934,0.18680000000000002
BR-00022746,5.0,0.804,0.1608
BR-00022759,2.0,0.415,0.2075
BR-00022953,2.0,0.444,0.222
BR-00022731,2.0,0.335,0.1675
BR-00022787,2.0,0.302,0.151
BR-00022730,2.0,0.286,0.143
BR-00022646,2.0,0.578,0.289
BR-00022818,2.0,2.067,1.0335
BR-00022991,2.0,0.314,0.157
BR-00022855,2.0,0.711,0.3555
BR-00022893,2.0,0.4,0.2
BR-00022942,2.0,0.526,0.263
BR-00023002,1.0,0.215,0.215
BR-00022931,1.0,0.262,0.262
BR-00022998,1.0,0.309,0.309
BR-00022936,1.0,0.363,0.363
BR-00022938,1.0,0.294,0.294
BR-00022756,1.0,0.333,0.333
BR-00022753,1.0,110.411,110.411
BR-00022997,1.0,0.285,0.285
BR-00022734,1.0,0.257,0.257
BR-00022925,1.0,0.308,0.308
BR-00022944,1.0,0.263,0.263
BR-00022945,1.0,0.253,0.253
BR-00022958,1.0,0.2,0.2
BR-00022733,1.0,0.26,0.26
BR-00022727,1.0,0.284,0.284
BR-00022621,1.0,0.236,0.236
BR-00022909,1.0,0.251,0.251
BR-00022627,1.0,0.224,0.224
BR-00022924,1.0,0.279,0.279
BR-00022910,1.0,0.239,0.239
BR-00022673,1.0,0.275,0.275
BR-00022726,1.0,0.201,0.201
BR-00022709,1.0,0.265,0.265
BR-00022700,1.0,0.198,0.198
BR-00022921,1.0,0.292,0.292
BR-00022676,1.0,0.22,0.22
BR-00022955,1.0,0.23,0.23
BR-00022926,1.0,0.336,0.336
BR-00022929,1.0,0.227,0.227
BR-00022653,1.0,2.342,2.342
BR-00022903,1.0,0.222,0.222
BR-00023008,1.0,0.286,0.286
BR-00022907,1.0,0.273,0.273
BR-00022962,1.0,0.256,0.256
BR-00022720,1.0,0.199,0.199
BR-00023001,1.0,0.244,0.244
BR-00023013,1.0,0.223,0.223
BR-00022596,1.0,0.316,0.316
BR-00022595,1.0,0.217,0.217
BR-00022589,1.0,0.245,0.245
BR-00022586,1.0,0.223,0.223
BR-00023016,1.0,0.288,0.288
BR-00023015,1.0,0.255,0.255
BR-00022990,1.0,0.299,0.299
BR-00022612,1.0,0.287,0.287
BR-00023012,1.0,0.225,0.225
BR-00023005,1.0,0.221,0.221
BR-00022982,1.0,0.29,0.29
BR-00023014,1.0,0.249,0.249
BR-00023007,1.0,0.238,0.238
BR-00023006,1.0,0.187,0.187
BR-00022598,1.0,0.282,0.282
BR-00022624,1.0,0.24,0.24
BR-00022711,1.0,0.212,0.212
BR-00022961,1.0,0.283,0.283
BR-00022695,1.0,0.258,0.258
BR-00022681,1.0,0.333,0.333
BR-00022952,1.0,0.578,0.578
BR-00022674,1.0,0.222,0.222
BR-00022651,1.0,0.303,0.303
BR-00022960,1.0,0.201,0.201
BR-00022973,1.0,0.235,0.235
BR-00022626,1.0,0.259,0.259
BR-00022640,1.0,0.224,0.224
BR-00022635,1.0,0.53,0.53
