id,project_is_approved
p233245,0.9715099
p096795,0.8231499
p236235,0.8384916
p233680,0.9299224
p171879,0.97719336
p016071,0.9634282
p099906,0.9338552
p200236,0.8672373
p129452,0.9418396
p186652,0.9775109
p257992,0.96105003
p055177,0.9392054
p069502,0.3116365
p099455,0.8413689
p226195,0.95975345
p048432,0.98360634
p028074,0.9961979
p188220,0.92794293
p213507,0.9487643
p006068,0.66674024
p124112,0.90093726
p190450,0.98953784
p180156,0.8538638
p025868,0.9403826
p134875,0.9014307
p169259,0.75059444
p124445,0.988303
p090153,0.945802
p086796,0.93950415
p101412,0.9779337
p249795,0.9734002
p185278,0.65401477
p052706,0.9163273
p118380,0.96511215
p258109,0.9624293
p033638,0.93381023
p190269,0.9433339
p166424,0.92171204
p128851,0.9502379
p059448,0.977774
p020036,0.79667705
p241422,0.8357144
p155492,0.9508316
p062100,0.8468363
p159786,0.4587881
p144841,0.96043795
p085470,0.7108773
p130095,0.53411436
p047018,0.9566936
p016587,0.778815
p087209,0.70650977
p188130,0.9819434
p101731,0.5824837
p232762,0.996979
p167483,0.93097633
p076351,0.9121689
p185000,0.98362017
p101086,0.94835985
p026220,0.98068124
p028685,0.9526795
p069530,0.90072215
p056829,0.5912267
p047088,0.99799806
p134783,0.91037315
p033569,0.784205
p066632,0.98162854
p249875,0.98131394
p246378,0.95485985
p088359,0.75830966
p068216,0.9354763
p132793,0.9657129
p012075,0.9949372
p034160,0.99134904
p164095,0.76395124
p101374,0.98427016
p179164,0.8719983
p144206,0.8246243
p117651,0.92813206
p037059,0.97438836
p156849,0.9256389
p096892,0.8596567
p161212,0.17510866
p099186,0.785974
p124024,0.9239703
p200265,0.9392281
p034357,0.9688468
p177052,0.69853497
p127983,0.57191384
p257497,0.9941426
p017783,0.8992482
p036670,0.99398935
p187035,0.9669439
p251797,0.9693326
p081183,0.9809405
p211028,0.9645404
p197996,0.9700523
p175648,0.97958094
p069955,0.9746596
p126285,0.98944515
p073482,0.97122777
p021363,0.89465296
p018483,0.9870984
p120512,0.97782725
p224623,0.9691101
p046024,0.74053806
p128133,0.99023193
p111612,0.9752255
p216008,0.97122484
p250197,0.8675132
p038264,0.91985726
p037304,0.94685
p233182,0.95197505
p187950,0.9867994
p194163,0.7991834
p123572,0.87555027
p213676,0.51689273
p242177,0.9839533
p228376,0.9376781
p098358,0.87435496
p208182,0.9599874
p192069,0.92769766
p125208,0.9830905
p068618,0.93110305
p250399,0.9557586
p096146,0.98475665
p014072,0.83682424
p170811,0.25962996
p016865,0.5947145
p000502,0.97144395
p243659,0.95387006
p123641,0.95491964
p179222,0.9451644
p119669,0.98575807
