id,project_is_approved
p233245,0.9382361
p096795,0.67109233
p236235,0.94735086
p233680,0.9695463
p171879,0.8690185
p016071,0.9842255
p099906,0.9030749
p200236,0.9522883
p129452,0.815097
p186652,0.9717926
p257992,0.9498585
p055177,0.6128835
p069502,0.50769275
p099455,0.6728726
p226195,0.9473972
p048432,0.95776975
p028074,0.99593663
p188220,0.93980527
p213507,0.8238402
p006068,0.7054186
p124112,0.8985435
p190450,0.9853898
p180156,0.8722867
p025868,0.7822392
p134875,0.93443435
p169259,0.73189735
p124445,0.91237557
p090153,0.92061865
p086796,0.57951343
p101412,0.9582749
p249795,0.8133026
p185278,0.77096385
p052706,0.89101
p118380,0.97518593
p258109,0.9379136
p033638,0.9269078
p190269,0.9142865
p166424,0.83661443
p128851,0.8277806
p059448,0.9092989
p020036,0.47673327
p241422,0.9395454
p155492,0.72460973
p062100,0.9263403
p159786,0.8304395
p144841,0.8643914
p085470,0.8416415
p130095,0.82357466
p047018,0.92210704
p016587,0.6437884
p087209,0.39026722
p188130,0.87822396
p101731,0.5352088
p232762,0.9950864
p167483,0.8576262
p076351,0.897404
p185000,0.9659512
p101086,0.8396174
p026220,0.97588396
p028685,0.9160282
p069530,0.9388009
p056829,0.6615753
p047088,0.6603269
p134783,0.80483323
p033569,0.75442624
p066632,0.90758425
p249875,0.9825953
p246378,0.9575231
p088359,0.94024
p068216,0.8479744
p132793,0.9572489
p012075,0.9836473
p034160,0.99079937
p164095,0.789439
p101374,0.91510385
p179164,0.8779488
p144206,0.7450126
p117651,0.6336287
p037059,0.94910496
p156849,0.9398268
p096892,0.8886738
p161212,0.8156103
p099186,0.7241419
p124024,0.8991771
p200265,0.9246094
p034357,0.96707815
p177052,0.54726297
p127983,0.41881207
p257497,0.95785123
p017783,0.84866065
p036670,0.9954613
p187035,0.92445385
p251797,0.9504428
p081183,0.9334532
p211028,0.9543657
p197996,0.94528604
p175648,0.95683587
p069955,0.95302016
p126285,0.93494356
p073482,0.40395576
p021363,0.84769285
p018483,0.92718047
p120512,0.9642331
p224623,0.98768425
p046024,0.97565526
p128133,0.87791145
p111612,0.9171136
p216008,0.90143645
p250197,0.4656348
p038264,0.96849793
p037304,0.96319026
p233182,0.8121578
p187950,0.9257417
p194163,0.8486161
p123572,0.92067915
p213676,0.60109925
p242177,0.98732495
p228376,0.80267555
p098358,0.9087838
p208182,0.8238636
p192069,0.82486516
p125208,0.97791415
p068618,0.7059737
p250399,0.93432635
p096146,0.9855011
p014072,0.9214229
p170811,0.5549631
p016865,0.7713837
p000502,0.99197257
p243659,0.91319513
p123641,0.7941873
p179222,0.95093226
p119669,0.97234863
p224232,0.95922196
p113196,0.80747503
p197404,0.91424555
p040348,0.9164558
p220547,0.71150446
p152772,0.7222308
p227843,0.95909894
p243822,0.9316281
p042663,0.65590596
p103616,0.9172028
p119315,0.49660325
p112683,0.93517965
p134225,0.43590957
p178686,0.8010272
p104414,0.95340896
p196430,0.94062334
p121265,0.95347756
p002111,0.9298277
p048656,0.92100716
p100742,0.87738943
p240945,0.9302022
p196948,0.74214375
p161397,0.9810924
p085333,0.7084126
p051174,0.8899883
p226030,0.8220136
p200031,0.9771334
p099283,0.50714886
p012888,0.9844536
p213138,0.9071009
p259594,0.9465765
p169939,0.81215316
p189829,0.7629196
p180698,0.94854677
p041111,0.9564326
p108577,0.8908905
p024499,0.7458708
p009156,0.9294762
p154797,0.81572986
p019957,0.89569056
p137043,0.94843686
p183936,0.982713
p143641,0.76536214
p201920,0.7030827
p169193,0.949445
p215466,0.8716532
p124527,0.81858504
p241030,0.72993034
p252968,0.79846454
p090991,0.9153615
p138331,0.84625727
p199355,0.94920075
p084300,0.9350781
p096238,0.8418713
p081530,0.9008528
p178898,0.957363
p177763,0.85932124
p175360,0.90111184
p218759,0.95639855
p225010,0.9486739
p015130,0.81105435
p161752,0.49753007
p152538,0.9618237
p237080,0.9524475
p199291,0.97370154
p136751,0.92856944
p108958,0.94854933
p110542,0.7519434
p043509,0.8318376
p251751,0.8370661
p241189,0.9861004
p194788,0.9201852
p175510,0.8382091
p113659,0.9424591
p038018,0.87774837
p109620,0.97406244
p198992,0.9277154
p001237,0.9025486
p156569,0.6836869
p183302,0.5821477
p068100,0.74897367
p013384,0.6017056
p189300,0.45712182
p185448,0.96899754
p140668,0.8906248
p070387,0.6231675
p033345,0.9385072
p049875,0.9728448
p112795,0.8816596
p042765,0.93981147
p183727,0.98419166
p258333,0.9769215
p164654,0.9722234
p111121,0.9908155
p007364,0.98748195
p235281,0.60550946
p184766,0.8901738
p118290,0.9640021
p134315,0.68992126
p008931,0.76892287
p193216,0.8828403
p099504,0.8085309
p185939,0.8068581
p212541,0.89376706
p057050,0.79214185
p235964,0.79964083
p019799,0.9030843
p226343,0.9650895
p247942,0.98002213
p034876,0.99176824
p127034,0.9243046
p122910,0.9531675
p112781,0.8397591
p167054,0.9579164
p091175,0.766788
p192661,0.9762512
p254171,0.88212264
p056473,0.96680605
p186773,0.93385494
p005448,0.76671225
p127039,0.8835668
p019902,0.9594809
p109258,0.9580875
p256814,0.5979569
p086119,0.96401566
p085718,0.70128304
p000341,0.8658919
p153871,0.37097856
p015527,0.9674499
p180082,0.7671258
p114608,0.9883599
p255258,0.79940826
p074885,0.6329227
p158107,0.9108241
p194785,0.6227374
p053919,0.76777524
p118270,0.92801493
p173735,0.9425291
p166438,0.8259929
p229032,0.9267041
p126693,0.9570068
p093408,0.86162686
p078376,0.92885184
p256718,0.8653129
p257276,0.968661
p139883,0.9633336
p112417,0.74668354
p006285,0.9747512
p158702,0.90404344
p180517,0.9861531
p103302,0.98336846
p085035,0.5780643
p052579,0.87797225
p034767,0.9029177
